scenario,trace,icount,"rss, kb","time, s",Ncomp,Pcomp,Prss,V,processing,verification
Logic20,1,1.75E+07,6.23E+06,154.96,108735,6.20E-03,3.55E-01,1.13E+05,1,1
Logic20,2,2.41E+07,1.07E+07,252.89,944753,3.91E-02,4.44E-01,9.54E+04,1,1
Logic20,3,1.96E+07,8.80E+06,209.66,934345,4.78E-02,4.50E-01,9.33E+04,1,1
Logic20,4,1.38E+07,6.33E+06,144.48,834541,6.03E-02,4.58E-01,9.57E+04,1,0
Logic20,5,1.47E+07,6.45E+06,148.03,589629,4.02E-02,4.39E-01,9.92E+04,1,1
Logic21,1,2.14E+07,9.25E+06,214.32,952301,4.45E-02,4.32E-01,9.99E+04,1,1
Logic21,2,1.35E+07,6.41E+06,152.65,851795,6.30E-02,4.74E-01,8.86E+04,1,1
Logic21,3,1.10E+07,5.29E+06,119.29,590451,5.36E-02,4.81E-01,9.23E+04,1,0
Logic21,4,1.21E+07,5.52E+06,128.11,455129,3.75E-02,4.55E-01,9.47E+04,1,0
Logic21,5,2.95E+07,1.31E+07,300.5,1721070,5.84E-02,4.45E-01,9.81E+04,1,0
Logic21,6,1.79E+07,8.10E+06,178.34,961626,5.38E-02,4.53E-01,1.00E+05,1,1
Logic21,7,1.11E+07,5.32E+06,120.69,649493,5.87E-02,4.81E-01,9.16E+04,1,0
Logic21,8,1.11E+07,5.31E+06,120.84,731097,6.61E-02,4.80E-01,9.15E+04,1,0
Logic21,9,1.48E+07,6.69E+06,147.21,746713,5.05E-02,4.52E-01,1.01E+05,1,1
Logic21,10,1.81E+07,8.51E+06,199.46,1290025,7.14E-02,4.71E-01,9.05E+04,1,1
Logic22,1,1.99E+07,9.23E+06,216,861921,4.33E-02,4.63E-01,9.22E+04,1,1
Logic22,2,1.79E+07,8.53E+06,190.76,1314747,7.36E-02,4.78E-01,9.36E+04,1,1
Logic22,3,1.29E+07,6.09E+06,137.09,1261504,9.75E-02,4.70E-01,9.44E+04,1,0
Logic22,4,1.71E+07,8.23E+06,186.46,1354940,7.94E-02,4.82E-01,9.16E+04,1,1
Logic22,5,1.41E+07,6.87E+06,151.77,1301834,9.27E-02,4.89E-01,9.26E+04,1,1
Logic22,6,1.54E+07,6.97E+06,167.24,644205,4.17E-02,4.52E-01,9.24E+04,1,0
Logic22,7,1.55E+07,7.21E+06,169.3,994879,6.43E-02,4.65E-01,9.14E+04,1,1
Logic22,8,1.30E+07,6.33E+06,141.71,1073381,8.28E-02,4.88E-01,9.15E+04,1,1
Logic22,9,1.37E+07,6.35E+06,143.27,812397,5.94E-02,4.64E-01,9.55E+04,1,0
Logic22,10,1.24E+07,6.15E+06,131.07,1453971,1.18E-01,4.97E-01,9.44E+04,1,1
